run_id,cell_id,split,classes,cap,cap_value,seed,model,n_train,n_test,n_classes,own_macro_f1,own_bacc,own_acc,own_defect_f1,own_defect_bacc,gold_defect_f1,gold_defect_bacc,gold_full_macro_f1,gold_full_bacc,gold_none_f1,dup_rate,dup_rate64,dup_rate_defect,lot_share_rate,nn_hamming_mean,nn_hamming_median,nn_hamming_p10,nn_hamming_p25,nn_hamming_p75,nn_hamming_p90,final_loss,train_seconds,n_params
A3-B1-C1-s0,A3-B1-C1,A3,B1,C1,nan,0,smallcnn,110667,27668,9,0.8333797706845787,0.7906909862555977,0.9694593031661125,0.8212937521146606,0.7649778004397011,0.8269460229058236,0.7764068438072421,0.8370953671205995,0.8007761606006585,0.9865713230603955,0.024360271794130403,0.024360271794130403,0.004656862745098039,0.0,376.4205941882319,355.0,152.0,233.0,508.0,639.0,0.021824667773675175,113.87748265266418,242345
A1-B1-C1-s0,A1-B1-C1,A1,B1,C1,nan,0,smallcnn,43555,94780,9,0.4383693468572483,0.5139974086020639,0.7246148976577337,0.5457752501808055,0.48551080057125684,0.7809035133337994,0.724656974727518,0.6661436867206884,0.7338062336411671,0.8836984954455225,0.021660687908841528,0.021660687908841528,0.010307643514113543,0.0,381.61049799535766,369.0,207.0,276.0,470.0,576.0,0.000763606509535748,121.81261777877808,242345
A1-B1-C1-s1,A1-B1-C1,A1,B1,C1,nan,1,smallcnn,43555,94780,9,0.4386192588716972,0.5119413196838232,0.6956636421185904,0.5505404098475286,0.48717768335804756,0.7708088519861341,0.7171760605916421,0.6535707756544696,0.7236552502660939,0.8643453302617168,0.021660687908841528,0.021660687908841528,0.010307643514113543,0.0,381.61049799535766,369.0,207.0,276.0,470.0,576.0,0.0008874948953380226,121.04449152946472,242345
A1-B1-C1-s2,A1-B1-C1,A1,B1,C1,nan,2,smallcnn,43555,94780,9,0.44323923633693907,0.5204228094679817,0.7284026165857775,0.5537427487523512,0.4922039084983044,0.774353320482815,0.7250236514739379,0.655888927644796,0.7336276827447138,0.8800817539947975,0.021660687908841528,0.021660687908841528,0.010307643514113543,0.0,381.61049799535766,369.0,207.0,276.0,470.0,576.0,0.0008030098632589215,106.87643265724182,242345
A1-B1-C2-s0,A1-B1-C2,A1,B1,C2,5000,0,smallcnn,12983,9690,9,0.5538407459129225,0.544799847066417,0.5562435500515995,0.5752379877115741,0.5404355711382813,0.7695109836404628,0.7333613937522598,0.6052903131172318,0.7271242371929642,0.8031423290203327,0.006398348813209494,0.006398348813209494,0.009694133377904061,0.0,488.07564499484005,446.0,249.0,342.0,596.0,769.0,0.00018447708907115158,108.66516375541687,242345
A1-B1-C2-s1,A1-B1-C2,A1,B1,C2,5000,1,smallcnn,12883,9790,9,0.5403511574646722,0.5278604286268526,0.5446373850868232,0.5644680118425625,0.525911766663072,0.770581134516185,0.7397926561662391,0.6075071774455969,0.7301302450199864,0.7857346763998205,0.006332992849846782,0.006332992849846782,0.009697375020899516,0.0,488.8638406537283,451.0,249.0,343.0,597.0,766.0,0.00021100702421244933,108.89608764648438,242345
A1-B1-C2-s2,A1-B1-C2,A1,B1,C2,5000,2,smallcnn,12990,9683,9,0.5438298292403023,0.5417999236415412,0.5340287101105029,0.5768603734934401,0.5466721863353794,0.7673653867288205,0.7360440782698154,0.5836058470553941,0.7231463010869654,0.7613281737610785,0.006402974284829082,0.006402974284829082,0.009896008050989601,0.0,489.2142930909842,448.0,254.0,343.0,598.0,768.0,0.00019087951412438998,108.91721773147583,242345
A1-B1-C3-s0,A1-B1-C3,A1,B1,C3,119,0,smallcnn,606,465,9,0.4021474658542965,0.4325876035526663,0.410752688172043,0.44464610213536193,0.4582519630876587,0.5657306185899336,0.649803425598514,0.3827125085284715,0.6233079509124475,0.5781640671508513,0.004301075268817204,0.004301075268817204,0.005305039787798408,0.0,590.2236559139785,534.0,292.20000000000005,387.0,755.0,975.0000000000006,2.513198532960814e-05,107.84840893745422,242345
A1-B1-C3-s1,A1-B1-C3,A1,B1,C3,119,1,smallcnn,598,473,9,0.4572978450473006,0.4509573038576788,0.452431289640592,0.5029650014497518,0.47859133465598064,0.6055758092513737,0.6799488538650943,0.42760273959010825,0.6476605194432744,0.5563032532920217,0.004228329809725159,0.004228329809725159,0.0051813471502590676,0.0,592.9640591966173,537.0,285.0,379.0,757.0,961.4000000000001,6.842112177582749e-05,106.93745541572571,242345
A1-B1-C3-s2,A1-B1-C3,A1,B1,C3,119,2,smallcnn,605,466,9,0.4685228104218458,0.47567703867649186,0.44849785407725323,0.5035726806876706,0.501534517973419,0.5831980490409987,0.6620388326833359,0.42682516747917393,0.6284086355612266,0.5243097609807944,0.008583690987124463,0.008583690987124463,0.010723860589812333,0.0,573.8347639484979,522.0,275.5,371.25,737.75,950.0,0.00011430654182549915,106.3075942993164,242345
